iter	Passed	Remaining
961	18012	711
962	18029	692
963	18045	673
964	18060	655
965	18071	636
966	18087	617
967	18102	598
968	18121	579
969	18132	560
970	18147	542
971	18163	523
972	18175	504
973	18188	485
974	18203	466
975	18217	447
976	18228	429
977	18244	410
978	18258	391
979	18272	372
980	18286	354
981	18301	335
982	18316	316
983	18327	298
984	18343	279
985	18356	260
986	18368	241
987	18385	223
988	18400	204
989	18411	185
990	18424	167
991	18439	148
992	18454	130
993	18466	111
994	18482	92
995	18496	74
996	18507	55
997	18523	37
998	18538	18
999	18552	0
